Title;Hours Viewed;Views
Colors of Evil: Red // Kolory zła: Czerwień;21800000;11600000
The Nun (2018);18600000;11500000
Holidate;20200000;11500000
Spider-Man: Across the Spider-Verse;26700000;11500000
Heart of the Hunter;20500000;11500000
GTMAX;19200000;11500000
Sisu (2022);17500000;11500000
Puss in Boots (2011);17900000;11500000
Irish Wish;18100000;11500000
Intrusion;18000000;11500000
Death Before the Wedding // Zgon przed weselem;20500000;11500000
Battleship;24900000;11400000
Mr. Deeds;18500000;11400000
Bird Box;23500000;11400000
The Ice Road;20600000;11400000
Lost Bullet // Balle perdue;17900000;11400000
Men in Black: International;21700000;11400000
365 Days: This Day;21100000;11300000
The Hard Way (2019);17700000;11300000
The Two Popes;23700000;11300000
Sweet Girl;20700000;11300000
Death Whisperer 2 // ธี่หยด 2;21000000;11200000
Gladiator (2000);28900000;11200000
Crazy, Stupid, Love.;22000000;11200000
Us (2019);21800000;11200000
How To Make Millions Before Grandma Dies // หลานม่า;23800000;11200000
Mr. & Mrs. Smith (2005);22400000;11200000
Scream VI;22900000;11200000
Sniper: Rogue Mission;17800000;11200000
Officer on Duty;25000000;11200000
Infinite Storm;18300000;11200000
Elf Pets: Santa’s Reindeer Rescue;5000000;11200000
Bullet Train;23700000;11200000
Lost Bullet 2 // Balle perdue 2;18700000;11200000
Midnight in the Switchgrass;18500000;11200000
The Hitman’s Bodyguard;22000000;11100000
The Courier // El correo;18900000;11100000
Colombiana;20700000;11100000
An Elf's Story: The Elf on the Shelf;4800000;11100000
Cloudy with a Chance of Meatballs (2009);16600000;11100000
Get Hard;18500000;11100000
Being Eddie;19300000;11100000
Your Place or Mine;20400000;11100000
Nowhere;20200000;11100000
Black and Blue (2019);19900000;11100000
Howl’s Moving Castle // ハウルの動く城;21900000;11000000
Goodbye June;21200000;11000000
Murder in Monaco;16500000;11000000
The Sand Castle // من وراء الموج;17700000;11000000
Enola Holmes 2;23800000;11000000
Spider-Man: No Way Home (Extended Version);28700000;11000000
Dragon (2025);27900000;10900000
War 2 // वॉर 2;31300000;10900000
The Monkey King;17700000;10900000
Oppenheimer (2023);32800000;10900000
Monster House (2006);16600000;10900000
Dog Man (2024);16000000;10800000
The Expendables 4;18600000;10800000
Uprising // 전,란;23000000;10800000
Loving Adults // Kærlighed for voksne;19100000;10800000
Ultraman: Rising;21800000;10800000
Unbroken (2014);24900000;10800000
The Client (1994);21700000;10800000
Lucky Baskhar;26500000;10800000
Mr. Peabody & Sherman;16500000;10700000
Four Brothers;19400000;10700000
Woman of the Hour;17000000;10700000
My Little Pony: A New Generation;16200000;10700000
How to Lose a Guy in 10 Days;20700000;10700000
Redeeming Love;23900000;10700000
The Highwaymen;23400000;10700000
Harry Potter and the Goblet of Fire;28200000;10700000
The Lego Movie;17900000;10700000
Home Team;17600000;10700000
Death Wish (2018);18900000;10600000
Transformers: Revenge of the Fallen;26700000;10600000
Maze Runner: Death Cure;25500000;10600000
Vanished into the Night // Svaniti nella notte;16500000;10600000
Pacific Rim;22800000;10500000
Baramulla // बारामूला;21200000;10500000
We're the Millers;19300000;10500000
Venom: Let There Be Carnage;17000000;10500000
Godzilla Minus One // ゴジラ-1.0;22100000;10500000
Miss Congeniality;19200000;10500000
Hit Man;20300000;10500000
Lyle, Lyle, Crocodile;18600000;10500000
Shark Tale;15600000;10400000
Safe House (2012);19900000;10400000
War Dogs (2016);19700000;10400000
Good Will Hunting;22100000;10400000
Daaku Maharaaj;24800000;10400000
The Quick and the Dead (1995);18100000;10400000
Just Like Heaven;16300000;10300000
Harry Potter and the Order of the Phoenix;23600000;10300000
Harry Potter and the Half-Blood Prince;26300000;10300000
Dracula Untold;15700000;10300000
Fractured;17100000;10300000
Deep Impact;20900000;10300000
American Sniper;22800000;10300000
The Dark Tower;16300000;10300000
Love and Monsters;18900000;10300000
Inspector Zende // इंस्पेक्टर ज़ेंडे;19100000;10200000
Spectral;18300000;10200000
Mahavatar Narsimha;22200000;10200000
Pets United;15800000;10200000
The Shack;22500000;10200000
All Quiet on the Western Front // Im Westen nichts Neues;25300000;10200000
Crazy Rich Asians;20300000;10100000
Over the Hedge;14200000;10100000
Trainwreck: Storm Area 51: Season 1;16400000;10100000
Paul (2011);17300000;10000000
Badland Hunters // 황야;18200000;10000000
Christmas Under the Northern Lights;14600000;10000000
Rescued by Ruby;15600000;10000000
Hidden Strike;17000000;9900000
Secret Obsession;16200000;9900000
The Art of Racing in the Rain;18200000;9900000
Fear Street Part 1: 1994;17600000;9900000
Spider-Man (2002);20100000;9900000
The 5th Wave;18700000;9900000
Tyler Perry's A Madea Christmas;16600000;9900000
The Loud House Movie;14400000;9800000
The Good Nurse;20100000;9800000
I Know What You Did Last Summer (2025);18100000;9800000
The Exorcist: Believer;18000000;9800000
My Neighbor Totoro // となりのトトロ;14300000;9800000
Vacation (2015);16100000;9800000
Ocean's Eleven (2001);19100000;9800000
Hop (2011);15500000;9800000
Anuja // अनुजा;3700000;9700000
The Family Stone;16700000;9700000
27 Nights // 27 noches;17700000;9700000
Untold: The Liver King;10900000;9700000
The Next 365 Days;18500000;9700000
Heaven Is for Real;16200000;9700000
Nimona;16600000;9700000
Kate;17300000;9700000
Maa // मां;21400000;9700000
Friday (1995);14700000;9700000
A Quiet Place Part II;15700000;9700000
American Made;18400000;9600000
War (2007);16400000;9600000
The Forge;19800000;9600000
Jurassic World;20000000;9600000
Bhool Bhulaiyaa 3 // भूल भुलैया 3;25100000;9600000
Forgetting Sarah Marshall;17700000;9600000
Society of the Snow // La sociedad de la nieve;23000000;9500000
A Fall from Grace;19200000;9500000
Ghostbusters: Frozen Empire;18300000;9500000
The Meg;17900000;9500000
Mikaela;14300000;9500000
Just Mercy;21600000;9500000
SAS: Rise of the Black Swan;19800000;9500000
Ballerina (2016);14200000;9500000
The Protege;17000000;9400000
The Kissing Booth 3;17800000;9400000
The Abyss // Avgrunden;16200000;9400000
The Witcher: Sirens of the Deep;14400000;9400000
The Ridiculous 6;18800000;9400000
Harold and the Purple Crayon (2024);14000000;9400000
What Men Want;18400000;9400000
It Chapter Two;26500000;9300000
Kingdom (2025);23600000;9300000
Sydney White;16700000;9300000
The Wedding Ringer;15900000;9300000
Mea Culpa;18500000;9300000
Django Unchained;25800000;9300000
The Boy Who Harnessed the Wind;17700000;9300000
Are We Done Yet? (2007);14200000;9300000
Sumala;17500000;9300000
Twas the Text Before Christmas;13000000;9300000
Rebel Moon — Part One: A Child of Fire;21100000;9300000
Heat (1995);26000000;9200000
Midway (2019);21100000;9200000
Gran Turismo: Based on a True Story;20400000;9200000
Forrest Gump;22000000;9200000
Harriet;19200000;9200000
Red Eye (2005);13200000;9200000
Life of the Party (2018);16200000;9200000
Monster High 2;14400000;9200000
Mission: Impossible - Rogue Nation;20300000;9200000
